id,latitude,longitude
UK000003302,53.25,-4.53
UKW00015036,51.75,-1.58
UKE00105927,51.18,0.85
UK000003026,58.33,-6.32
UKE00105657,51.08,0.46
UKE00105881,57.2,-2.2
UKE00105866,52.14,-4.57
UKE00105929,57.01,-6.29
UKE00105905,53.26,-1.91
UKE00105914,52.21,-2.97
UKE00156860,57.71,-3.32
UKE00156832,53.77,-3.04
UKM00003502,52.13,-4.57
UKM00003100,56.5,-6.87
UKE00105871,50.29,-3.65
UKW00015035,53.17,0.52
UKE00105932,55.42,-3.76
UKE00105909,52.21,-1.6
UKE00105889,56.0,-2.53
UKE00107640,56.5,-6.89
UKE00156840,54.93,-2.96
UKE00156856,51.43,-2.11
UKW00035034,52.4,0.57
UKW00035035,52.65,0.55
UKE00105681,54.65,-6.22
UKE00105864,53.15,-3.2
UKE00105636,57.65,-3.57
UKE00105897,51.96,1.03
UKE00156852,54.77,-1.58
UKE00156888,52.01,0.59
UKE00105876,54.45,-6.07
UKM00003171,56.37,-2.87
UKE00105894,54.1,0.64
UKE00105921,50.85,0.57
UKE00105930,56.03,-4.99
UKW00035048,52.13,1.43
UKW00015014,52.38,0.42
UKW00035052,53.13,0.0
UKW00015040,51.38,-1.28
UKW00015027,53.38,-2.65
UKE00105917,51.19,0.95
UKE00105911,52.11,-2.31
UKE00105865,57.49,-4.22
UKE00115811,52.48,1.73
UKM00003917,54.66,-6.22
UKE00156864,52.4,0.24
UKM00003066,57.65,-3.56
UKE00156844,53.83,-1.15
UKE00105887,55.82,-3.23
UKW00035049,52.32,0.92
UK000003162,55.32,-3.2
UKE00105903,53.81,-1.77
UKE00105884,56.53,-4.11
UKE00105923,50.78,-1.83
UKE00105895,53.15,0.35
UKE00105882,53.06,-3.55
UKE00105915,51.56,0.18
UKW00015015,52.3,0.53
UKM00003257,54.3,-1.53
UKM00003414,52.8,-2.67
UKE00105858,54.92,-3.95
UKE00105892,55.23,-2.58
UKE00105856,55.48,-4.57
UKE00105907,53.22,-1.11
UKE00105878,54.44,-7.9
UKE00105906,53.01,-1.25
UKM00003740,51.51,-1.99
UKE00156884,51.31,0.47
UKE00105867,52.43,-4.02
UKE00105900,51.81,0.36
UKM00003772,51.48,-0.46
UKW00035054,51.28,0.4
UKE00105918,51.35,1.34
UKE00156872,52.1,-2.06
UKE00108854,54.09,-4.63
UK000003005,60.13,-1.18
UKE00105857,55.1,-4.19
UKE00156836,51.16,-1.75
UKE00105861,54.34,-3.02
UK000003808,50.22,-5.32
UKW00015042,52.47,-1.12
UKE00105880,49.22,-2.2
UKE00105863,53.22,-3.03
UKW00035050,51.97,0.5
UKE00105888,55.97,-3.21
UKE00107962,51.01,-2.64
UKE00105874,57.01,-3.4
UKE00105904,53.38,-1.49
UKE00105003,52.24,0.1
UKE00108855,52.74,0.29
UKE00156876,52.84,-1.25
UKE00105920,50.76,0.28
UKE00105642,56.45,-3.07
UK000070765,58.45,-3.08
UKE00156880,50.58,-1.3
UKE00105630,58.95,-2.9
UKE00105672,51.7,-5.15
UKE00105933,55.7,-3.63
UKE00105886,56.38,-2.86
UKE00102158,51.5,-1.99
UKE00105898,52.12,0.96
UKE00105910,53.0,-2.27
UKE00105925,51.12,-1.44
UK000003377,53.17,0.52
UKE00105891,55.54,-2.9
UKM00003862,50.78,-1.84
UKE00105931,55.84,-5.06
UKE00105873,50.83,-4.55
UKE00105890,55.7,-3.37
UKW00015038,51.68,-1.78
UKW00015037,51.93,-1.25
UKE00105875,57.04,-3.22
UKM00003017,58.96,-2.9
UKE00156868,54.08,-2.86
UKW00015033,52.37,0.22
UKW00035046,52.37,0.48
UKE00105924,50.74,-1.57
UKW00015041,53.37,0.68
UKE00105913,57.61,-5.31
UKE00105919,50.78,0.68
UK000044841,53.77,-0.37
UKE00105648,52.19,0.13
UKM00003590,52.13,0.96
UKW00015018,52.1,0.05
UKE00105902,54.1,-2.16
UKE00105669,52.35,-3.82
UKW00015034,52.35,0.12
UK000047811,54.35,-6.65
UKW00035036,52.85,0.77
UKW00035047,51.35,1.37
UKM00003334,53.35,-2.28
UKE00105660,55.85,-4.43
UKE00105926,50.78,0.98
UKE00105908,52.68,-1.22
UKM00003091,57.18,-2.2
UKE00105675,51.43,-2.67
UKE00105899,52.49,1.75
UKE00105869,50.61,-1.96
UKE00105901,51.73,0.43
UKE00105877,54.6,-5.83
UKE00105922,51.6,-1.11
UKW00035051,52.08,1.4
UKE00105872,50.44,-5.0
UKE00105912,52.44,-2.08
UKM00003014,60.12,-2.07
UKE00107663,49.43,-2.6
UKE00105862,53.77,-2.7
UKE00105893,55.22,-1.69
UK000056225,51.77,-1.27
UKE00100808,53.77,0.37
UK000000000,52.42,-1.83
UKE00105860,54.67,-2.79
UKE00105651,53.92,-1.17
UKE00105870,50.35,-4.12
UKE00107650,51.48,0.45
UKE00105885,56.72,-3.77
UKE00156848,53.03,0.5
UKE00115807,57.01,-3.4